"GOV"	"CHRCTH"	"1"	"1"
"GOV"	"GOVPTY"	"1"	"1"
"GOV"	"POLELI"	"3"	"3"
"IGOWSTNATMIL"	"MED"	"1"	"1"
"IGOWSTNATMIL"	"USA"	"1"	"1"
"ISR"	"EGYGOV"	"1"	"2"
"ITA"	"IGOWSTNAT"	"1"	"2"
"LAO"	"CUB"	"2"	"2"
"MED"	"EDUEDU"	"1"	"1"
"MEX"	"CAN"	"1"	"2"
"MEX"	"FIN"	"1"	"2"
"MEX"	"GOV"	"1"	"1"
"MEX"	"USA"	"1"	"3"
"OPP"	"USACOP"	"1"	"1"
"PER"	"USA"	"1"	"1"
"PER"	"USAGOV"	"1"	"1"
"PHL"	""	"1"	"1"
"POL"	"AUS"	"1"	"3"
"IRQ"	"IRN"	"7"	"17"
"KWT"	"EUR"	"1"	"2"
""	"AGR"	"2"	"2"
""	"BOL"	"1"	"1"
""	"BUS"	"1"	"1"
""	"POLMED"	"1"	"1"
"COD"	"POL"	"1"	"1"
