564122980	20160728	201607	2016	2016.5699	USAEDU	PENNSYLVANIA	USA					EDU			USA	PENNSYLVANIA	USA								1	043	043	04	1	2.8	2	1	2	-0.44444444444445	3	Pottstown, Pennsylvania, United States	US	USPA	40.2454	-75.6496	1214003	2	Indiana, United States	US	USIN	39.8647	-86.2604	IN	3	Pottstown, Pennsylvania, United States	US	USPA	40.2454	-75.6496	1214003	20160728	http://www.pennlive.com/news/2016/07/trumps_three_messages_for_pa_i.html
564122990	20160728	201607	2016	2016.5699	USAELI	UNITED STATES	USA					ELI			MED	MEDIA						MED			1	102	102	10	3	-5.0	1	1	1	0	2	Ohio, United States	US	USOH	40.3736	-82.7755	OH	2	Ohio, United States	US	USOH	40.3736	-82.7755	OH	2	Ohio, United States	US	USOH	40.3736	-82.7755	OH	20160728	http://www.winknews.com/2016/07/27/wink-at-dnc-actors-glover-sarandon-take-over-dnc-media-room/
564123000	20160728	201607	2016	2016.5699	USAGOV	JOE BIDEN	USA					GOV													1	010	010	01	1	0.0	922	241	904	-0.595204293903374	2	New York, United States	US	USNY	42.1497	-74.9384	NY	0							2	New York, United States	US	USNY	42.1497	-74.9384	NY	20160728	http://www.cairnspost.com.au/news/world/democratic-national-convention-day-three-president-obama-speaks/news-story/fcb8fba178661b7e0d6532575880f274?nk=861a42e66963347c374ab5784709d87a-1469664164
564123010	20160728	201607	2016	2016.5699	USAGOV	IOWA	USA					GOV													1	051	051	05	1	3.4	42	9	42	1.94570513811393	2	Iowa, United States	US	USIA	42.0046	-93.214	IA	0							2	Iowa, United States	US	USIA	42.0046	-93.214	IA	20160728	http://freebeacon.com/culture/choir-sings-battle-hymn-of-the-republic-wwii-soldiers-remains-taken-off-plane/
564123020	20160728	201607	2016	2016.5699	USAGOV	BARACK OBAMA	USA					GOV			COP	POLICE OFFICER						COP			0	193	193	19	4	-10.0	2	1	2	-6.02232667450059	3	Baton Rouge, Louisiana, United States	US	USLA	30.4507	-91.1545	1629914	3	Baton Rouge, Louisiana, United States	US	USLA	30.4507	-91.1545	1629914	3	Baton Rouge, Louisiana, United States	US	USLA	30.4507	-91.1545	1629914	20160728	http://mynorthwest.com/346548/the-latest-3-officers-dead-3-injured-in-baton-rouge/
564123030	20160728	201607	2016	2016.5699	USAGOV	HILLARY CLINTON	USA					GOV			GOV	PRESIDENT						GOV			1	051	051	05	1	3.4	152	25	148	-1.19025374407256	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20160728	http://www.heraldsun.com.au/news/world/democratic-national-convention-day-three-celebs-support-hillary-clinton-for-president/news-story/5266916f3145f34f987636ba352e7f3a?nk=584109292b3b6725025ab35b99b9d962-1469664145
564123040	20160728	201607	2016	2016.5699	USAGOV	OBAMA	USA					GOV			USA	UNITED STATES	USA								1	010	010	01	1	0.0	1538	118	1522	2.10077437611134	3	Philadelphia, Pennsylvania, United States	US	USPA	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	39.9523	-75.1638	1209052	20160728	http://www.salon.com/2016/07/27/the_evolution_of_michelle_obama_convention_speaker/
564137258	20160728	201607	2016	2016.5699	GOV	ATTORNEY GENERAL						GOV			JUD	ATTORNEY						JUD			0	051	051	05	1	3.4	2	1	2	-5.23560209424084	2	Alabama, United States	US	USAL	32.799	-86.8073	AL	3	Sumter County, Alabama, United States	US	USAL	32.4668	-88.2	161585	3	Sumter County, Alabama, United States	US	USAL	32.4668	-88.2	161585	20160728	http://www.waka.com/2016/07/27/sumter-co-sheriff-found-guilty-removed-from-office/
564137268	20160728	201607	2016	2016.5699	GOV	GOVERNMENT						GOV			LEG	PARLIAMENT						LEG			1	010	010	01	1	0.0	2	1	2	-2.13219616204691	1	Pakistan	PK	PK	30	70	PK	1	Pakistan	PK	PK	30	70	PK	1	Pakistan	PK	PK	30	70	PK	20160728	http://www.ptinews.com/news/7698845_Stop-exporting-terror-to-J-K--India-tells-Pakistan.html
564137278	20160728	201607	2016	2016.5699	GOV	STATE GOVERNOR						GOV			MIL	MILITARY						MIL			1	051	051	05	1	3.4	6	2	6	0.895326729175285	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	9.08333	7.53333	-1997013	20160728	http://punchng.com/military-approach-not-right-option-militants-says-dickson/
